index,项目,结果,学年,学期,学位,国家,分数制,GPA
768,MCS@Rice,Admit,2024,Fall,Master,美国,100,90.6
769,MCS@Rice,Admit,2024,Fall,Master,美国,4.0,3.92
770,MCS@Rice,Admit,2024,Fall,Master,美国,100,90.5
771,MCS@Rice,Admit,2024,Fall,Master,美国,100,91.08
772,MCS@Rice,Admit,2024,Fall,Master,美国,100,90.5
773,MCS@Rice,Admit,2024,Fall,Master,美国,4.0,3.94
774,MCS@Rice,Admit,2024,Fall,Master,美国,100,94.25
775,MCS@Rice,Admit,2024,Fall,Master,美国,4.0,3.97
776,MCS@Rice,Reject,2023,Fall,Master,美国,5.0,4.43
777,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.48
778,MCS@Rice,Reject,2023,Fall,Master,美国,100,86.74
779,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.7
780,MCS@Rice,Admit,2023,Fall,Master,美国,4.0,3.95
781,MCS@Rice,Reject,2023,Fall,Master,美国,100,88.0
782,MCS@Rice,Admit,2023,Fall,Master,美国,100,89.7
783,MCS@Rice,Reject,2023,Fall,Master,美国,100,86.99
784,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.87
785,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.82
786,MCS@Rice,Admit,2023,Fall,Master,美国,100,90.52
787,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.85
788,MCS@Rice,Reject,2023,Fall,Master,美国,5.0,4.55
789,MCS@Rice,Admit,2023,Fall,Master,美国,100,92.3
790,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.48
791,MCS@Rice,Reject,2023,Fall,Master,美国,100,87.5
792,MCS@Rice,Admit,2023,Fall,Master,美国,100,87.0
793,MCS@Rice,Admit,2023,Fall,Master,美国,4.0,3.92
794,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.33
795,MCS@Rice,Reject,2023,Fall,Master,美国,4.3,3.7
796,MCS@Rice,Admit,2023,Fall,Master,美国,4.0,3.75
797,MCS@Rice,Admit,2023,Fall,Master,美国,4.0,3.8
798,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.87
799,MCS@Rice,Admit,2023,Fall,Master,美国,100,90.9
800,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.74
801,MCS@Rice,Reject,2023,Fall,Master,美国,5.0,4.41
802,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.7
803,MCS@Rice,Admit,2023,Fall,Master,美国,4.0,3.91
804,MCS@Rice,Reject,2023,Fall,Master,美国,4.3,3.97
805,MCS@Rice,Admit,2023,Fall,Master,美国,100,91.63
806,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.3
807,MCS@Rice,Reject,2023,Fall,Master,美国,100,92.91
808,MCS@Rice,Reject,2023,Fall,Master,美国,4.0,3.37
809,MCS@Rice,Admit,2023,Fall,Master,美国,4.0,3.84
810,MCS@Rice,Admit,2023,Fall,Master,美国,其他,27.89
811,MCS@Rice,Admit,2023,Fall,Master,美国,4.0,3.92
812,MCS@Rice,Reject,2023,Fall,Master,美国,100,87.0
813,MCS@Rice,Reject,2022,Fall,Master,美国,100,90.11
814,MCS@TAMU,Admit,2024,Fall,Master,美国,4.0,3.5
815,MCS@TAMU,Admit,2024,Fall,Master,美国,100,90.6
816,MCS@TAMU,Admit,2024,Fall,Master,美国,4.0,3.92
817,MCS@TAMU,Admit,2024,Fall,Master,美国,100,90.5
818,MCS@TAMU,Reject,2023,Fall,Master,美国,100,86.5
819,MCS@TAMU,Reject,2023,Fall,Master,美国,4.0,3.92
820,MCS@TAMU,Reject,2023,Fall,Master,美国,4.0,3.74
821,MCS@TAMU,Admit,2023,Fall,Master,美国,4.3,3.97
822,MCS@TAMU,Admit,2023,Fall,Master,美国,4.0,3.78
823,MCS@TAMU,Admit,2023,Fall,Master,美国,4.0,3.95
824,MCS@TAMU,Admit,2023,Fall,Master,美国,100,88.0
825,MCS@TAMU,Admit,2023,Fall,Master,美国,100,86.99
826,MCS@TAMU,Admit,2023,Fall,Master,美国,4.3,3.55
827,MCS@TAMU,Admit,2023,Fall,Master,美国,4.0,3.83
828,MCS@TAMU,Admit,2022,Fall,Master,美国,100,90.11
829,MCS@UCI,Reject,2024,Fall,Master,美国,4.0,3.83
830,MCS@UCI,Admit,2024,Fall,Master,美国,5.0,4.33
831,MCS@UCI,Admit,2024,Fall,Master,美国,100,91.08
832,MCS@UCI,Reject,2024,Fall,Master,美国,4.0,3.92
833,MCS@UCI,Reject,2024,Fall,Master,美国,100,90.6
834,MCS@UCI,Reject,2023,Fall,Master,美国,100,86.5
835,MCS@UCI,Reject,2023,Fall,Master,美国,5.0,4.43
836,MCS@UCI,Reject,2023,Fall,Master,美国,100,90.9
837,MCS@UCI,Reject,2023,Fall,Master,美国,4.0,3.84
838,MCS@UCI,Reject,2023,Fall,Master,美国,5.0,4.41
839,MCS@UCI,Reject,2023,Fall,Master,美国,4.0,3.8
840,MCS@UCI,Reject,2023,Fall,Master,美国,4.0,3.74
841,MCS@UCI,Reject,2023,Fall,Master,美国,4.0,3.37
842,MCS@UCI,Reject,2023,Fall,Master,美国,4.0,3.87
843,MCS@UCI,默拒,2023,Fall,Master,美国,4.0,3.95
844,MCS@UCI,Reject,2023,Fall,Master,美国,4.0,3.48
845,MCS@UCI,Admit,2023,Fall,Master,美国,4.3,3.55
846,MCS@UCI,Reject,2023,Fall,Master,美国,4.0,3.69
847,MCS@UCI,Reject,2023,Fall,Master,美国,5.0,4.55
848,MCS@UCI,Reject,2023,Fall,Master,美国,4.3,3.97
849,MCS@UCI,Reject,2022,Fall,Master,美国,100,90.11
850,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.75
851,MCS@UIUC,Reject,2024,Fall,Master,美国,100,94.25
852,MCS@UIUC,Reject,2024,Fall,Master,美国,4.3,3.7
853,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.83
854,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.81
855,MCS@UIUC,Waitlist,2024,Fall,Master,美国,100,91.7
856,MCS@UIUC,Reject,2024,Fall,Master,美国,4.3,3.7
857,MCS@UIUC,Admit,2024,Fall,Master,美国,100,91.82
858,MCS@UIUC,Admit,2024,Fall,Master,美国,4.0,3.97
859,MCS@UIUC,Admit,2024,Fall,Master,美国,100,91.11
860,MCS@UIUC,Admit,2024,Fall,Master,美国,4.0,3.93
861,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.96
862,MCS@UIUC,Reject,2024,Fall,Master,美国,100,92.0
863,MCS@UIUC,Reject,2024,Fall,Master,美国,100,90.6
864,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.92
865,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.82
866,MCS@UIUC,Reject,2024,Fall,Master,美国,100,93.05
867,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.7
868,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.69
869,MCS@UIUC,Reject,2024,Fall,Master,美国,100,89.1
870,MCS@UIUC,Reject,2024,Fall,Master,美国,5.0,4.33
871,MCS@UIUC,Reject,2024,Fall,Master,美国,100,90.1
872,MCS@UIUC,Reject,2024,Fall,Master,美国,4.0,3.94
873,MCS@UIUC,Admit,2024,Spring,Master,美国,4.0,3.7
874,MCS@UIUC,Admit,2024,Spring,Master,美国,4.0,3.48
875,MCS@UIUC,Admit,2024,Spring,Master,美国,100,90.3
876,MCS@UIUC,Admit,2024,Spring,Master,美国,4.0,3.74
877,MCS@UIUC,Admit,2024,Spring,Master,美国,4.0,3.84
878,MCS@UIUC,Reject,2023,Fall,Master,美国,100,88.0
879,MCS@UIUC,Admit,2023,Fall,Master,美国,4.0,3.98
880,MCS@UIUC,Reject,2023,Fall,Master,美国,4.3,3.94
881,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.92
882,MCS@UIUC,Reject,2023,Fall,Master,美国,5.0,4.55
883,MCS@UIUC,Reject,2023,Fall,Master,美国,100,87.5
884,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.85
885,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.95
886,MCS@UIUC,Reject,2023,Fall,Master,美国,100,92.3
887,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.87
888,MCS@UIUC,Reject,2023,Fall,Master,美国,100,86.5
889,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.87
890,MCS@UIUC,Admit,2023,Fall,Master,美国,4.0,3.59
891,MCS@UIUC,Admit,2023,Fall,Master,美国,4.0,3.95
892,MCS@UIUC,Reject,2023,Fall,Master,美国,4.3,4.1
893,MCS@UIUC,Reject,2023,Fall,Master,美国,100,90.52
894,MCS@UIUC,Waitlist,2023,Fall,Master,美国,100,89.7
895,MCS@UIUC,Admit,2023,Fall,Master,美国,4.0,3.75
896,MCS@UIUC,Admit,2023,Fall,Master,美国,4.0,3.86
897,MCS@UIUC,Admit,2023,Fall,Master,美国,100,91.63
898,MCS@UIUC,Reject,2023,Fall,Master,美国,4.3,3.7
899,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.5
900,MCS@UIUC,Reject,2023,Fall,Master,美国,100,86.99
901,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.82
902,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.85
903,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.91
904,MCS@UIUC,Admit,2023,Fall,Master,美国,4.0,3.94
905,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.7
906,MCS@UIUC,Reject,2023,Fall,Master,美国,100,86.3
907,MCS@UIUC,Reject,2023,Fall,Master,美国,4.3,3.55
908,MCS@UIUC,Reject,2023,Fall,Master,美国,5.0,4.41
909,MCS@UIUC,Reject,2023,Fall,Master,美国,4.0,3.92
910,MCS@UIUC,Admit,2023,Fall,Master,美国,4.0,3.97
911,MCS@UIUC,Reject,2023,Fall,Master,美国,4.3,3.75
912,MCS@UIUC,Reject,2023,Fall,Master,美国,100,90.9
913,MCS@UIUC,Admit,2022,Fall,Master,美国,100,88.42
914,MCS@UIUC,Reject,2022,Fall,Master,美国,100,90.11
915,MCS@UIUC,Reject,2022,Fall,Master,美国,100,89.28
916,MCS@uOttawa,Reject,2024,Fall,Master,加拿大,5.0,4.7
917,MCS@uOttawa,Reject,2023,Fall,Master,加拿大,4.0,3.3
918,MCS@UVa,Reject,2024,Fall,Master,美国,4.0,3.21
919,MCS@UVa,Admit,2024,Fall,Master,美国,100,90.6
920,MCS@UVa,Reject,2024,Fall,Master,美国,5.0,4.33
921,MCS@UVa,Admit,2023,Fall,Master,美国,100,86.99
922,MCS@UVa,Admit,2023,Fall,Master,美国,4.0,3.85
923,MCS@UVa,Admit,2023,Fall,Master,美国,4.0,3.85
924,MDS@Rice,Reject,2023,Fall,Master,美国,4.0,3.87
925,MDS@UCI,Reject,2023,Fall,Master,美国,4.0,3.87
926,MDSAI@Waterloo,Reject,2024,Fall,Master,美国,100,90.5
927,MDSAI@Waterloo,Reject,2024,Fall,Master,美国,4.0,3.6
928,MDSAI@Waterloo,Admit,2024,Fall,Master,美国,4.0,3.93
929,MDSAI@Waterloo,Admit,2023,Fall,Master,美国,4.0,3.74
930,MDSAI@Waterloo,Admit,2023,Fall,Master,美国,100,90.52
931,MEng CE@TAMU,Admit,2024,Fall,Master,美国,4.0,3.21
932,MEng CE@TAMU,Admit,2023,Fall,Master,美国,4.0,3.73
933,MEng CE@TAMU,Admit,2023,Fall,Master,美国,4.3,3.41
934,MEng S&T@McMaster,Admit,2023,Fall,Master,加拿大,100,87.6
935,MEng@UCLA,Reject,2024,Fall,Master,美国,4.3,3.7
936,MEng@UCLA,Reject,2024,Fall,Master,美国,4.0,3.82
937,MEng@UCLA,Reject,2024,Fall,Master,美国,100,89.1
938,MEng@UCLA,Admit,2023,Fall,Master,美国,4.0,3.98
939,MEng@UCLA,Admit,2023,Fall,Master,美国,4.0,3.92
940,MEng@UCLA,Admit,2023,Fall,Master,美国,100,88.0
941,MEng@UCLA,Admit,2023,Fall,Master,美国,4.3,3.55
942,MEng@UCLA,Admit,2023,Fall,Master,美国,5.0,4.55
943,MEng@UCLA,Admit,2023,Fall,Master,美国,100,86.3
944,MEng@UCLA,Admit,2023,Fall,Master,美国,100,92.3
945,MEng@UCLA,Admit,2023,Fall,Master,美国,4.0,3.6
946,MEng@UCLA,Reject,2023,Fall,Master,美国,4.0,3.33
947,MEng@UCLA,Admit,2023,Fall,Master,美国,100,88.0
948,MEng@UCLA,Admit,2023,Fall,Master,美国,4.3,3.97
949,MEng@UCLA,Admit,2023,Fall,Master,美国,4.0,3.94
950,MEng@UCLA,Admit,2023,Fall,Master,美国,4.0,3.85
951,MEng@UCLA,Reject,2023,Fall,Master,美国,4.0,3.3
952,MEng@UCLA,Reject,2023,Fall,Master,美国,100,92.91
953,MEng@UCLA,Admit,2023,Fall,Master,美国,100,86.5
954,MEng@UCLA,Reject,2023,Fall,Master,美国,4.0,3.74
955,MEng@UCLA,Admit,2023,Fall,Master,美国,100,86.5
956,MEng@UCLA,Reject,2022,Fall,Master,美国,100,90.11
957,MEng@UCLA,Admit,2022,Fall,Master,美国,100,88.42
958,MET@CMU,Withdraw,2023,Fall,Master,美国,4.0,3.3
959,MIIS@CMU,Reject,2024,Fall,Master,美国,100,85.97
961,MIIS@CMU,Reject,2023,Fall,Master,美国,100,88.42
962,MIIS@CMU,Reject,2023,Fall,Master,美国,4.0,3.95
963,MIIS@CMU,Reject,2023,Fall,Master,美国,100,89.61
964,MIIS@CMU,Reject,2023,Fall,Master,美国,100,90.52
965,MIIS@CMU,Reject,2023,Fall,Master,美国,4.0,4.0
966,MIIS@CMU,Reject,2023,Fall,Master,美国,4.0,3.95
967,MIIS@CMU,Admit,2023,Fall,Master,美国,100,91.63
968,MIIS@CMU,Reject,2022,Fall,Master,美国,100,88.42
969,MINT@UAlberta,Admit,2023,Fall,Master,加拿大,100,87.6
970,MISM@CMU,Reject,2023,Fall,Master,美国,100,86.74
971,MISM@CMU,Admit,2023,Fall,Master,美国,100,86.5
972,MITS@CMU,Admit,2024,Fall,Master,美国,4.0,3.98
973,MITS@CMU,Reject,2024,Fall,Master,美国,100,89.1
974,MITS@CMU,Admit,2024,Fall,Master,美国,100,91.82
975,MITS@CMU,Admit,2024,Fall,Master,美国,100,89.7
976,MITS@CMU,Reject,2023,Fall,Master,美国,4.3,3.75
977,MLT@CMU,Reject,2024,Fall,Master,美国,100,90.1
978,MLT@CMU,Reject,2023,Fall,Master,美国,4.0,3.95
979,MLT@CMU,Reject,2023,Fall,Master,美国,4.0,3.95
980,MLT@CMU,Reject,2023,Fall,Master,美国,100,91.63
981,MMath@Waterloo,Admit,2024,Fall,Master,美国,4.0,3.5
982,MMath@Waterloo,Admit,2024,Fall,Master,美国,100,90.28
983,MMath@Waterloo,Reject,2023,Fall,Master,美国,4.0,3.74
984,MMath@Waterloo,Waitlist,2023,Fall,Master,美国,4.0,3.8
985,MPCS@UChicago,Reject,2024,Fall,Master,美国,4.3,3.7
986,MPCS@UChicago,Reject,2024,Fall,Master,美国,4.0,3.7
987,MPCS@UChicago,Admit,2024,Fall,Master,美国,4.0,3.83
988,MPCS@UChicago,Reject,2024,Fall,Master,美国,100,85.14
989,MPCS@UChicago,Waitlist,2024,Fall,Master,美国,100,91.08
990,MPCS@UChicago,Admit,2023,Fall,Master,美国,100,87.5
991,MPCS@UChicago,Admit,2023,Fall,Master,美国,4.0,3.8
992,MPCS@UChicago,Reject,2023,Fall,Master,美国,100,89.7
993,MPCS@UChicago,Admit,2023,Fall,Master,美国,4.3,3.75
994,MPCS@UChicago,Admit,2023,Fall,Master,美国,其他,27.89
995,MPCS@UChicago,Reject,2023,Fall,Master,美国,4.0,3.3
996,MPCS@UChicago,Admit,2023,Fall,Master,美国,4.0,3.9
997,MPCS@UChicago,Admit,2023,Fall,Master,美国,4.0,3.97
998,MPCS@UChicago,Reject,2023,Fall,Master,美国,4.0,3.92
999,MPCS@UChicago,Reject,2023,Fall,Master,美国,100,86.74
1000,MPhil-CSE@HKUST,Admit,2023,Fall,Master,中国香港,100,93.0
1001,MSAI-EE@CMU,Admit,2023,Fall,Master,美国,4.0,3.84
1002,MSAI-EE@CMU,Admit,2023,Fall,Master,美国,4.0,3.92
1003,MSAI@BU,Admit,2023,Fall,Master,美国,4.0,3.48
1004,MSAIE-IS@CMU,Reject,2023,Fall,Master,美国,4.0,3.37
1005,MSAIE-IS@CMU,Reject,2023,Fall,Master,美国,4.0,3.92
1006,MSAII@CMU,Reject,2024,Fall,Master,美国,4.0,3.87
1007,MSAII@CMU,Reject,2024,Fall,Master,美国,4.0,3.83
1008,MSAII@CMU,Reject,2024,Fall,Master,美国,5.0,4.62
1009,MSAII@CMU,Reject,2024,Fall,Master,美国,100,91.11
1010,MSAII@CMU,Admit,2024,Fall,Master,美国,4.0,3.83
1011,MSAII@CMU,Reject,2023,Fall,Master,美国,100,91.63
1012,MSAII@CMU,Reject,2023,Fall,Master,美国,100,90.52
1013,MSAII@CMU,Reject,2023,Fall,Master,美国,4.0,3.9
1014,MSAII@CMU,Reject,2022,Fall,Master,美国,100,88.42
1015,MSc Computing (SE)@IC,Reject,2023,Fall,Master,英国,5.0,4.41
1016,MSc CS@Edinburgh,Reject,2023,Fall,Master,英国,5.0,4.41
1017,MSc CS@Edinburgh,Admit,2023,Fall,Master,英国,100,90.52
1018,MSc CS@McGill,Reject,2023,Fall,Master,加拿大,4.0,3.68
1019,MSc CS@McGill,Admit,2023,Fall,Master,加拿大,4.0,4.0
1020,MSc CS@McGill,Reject,2022,Fall,Master,加拿大,100,88.42
1021,MSc CS@McMaster,Admit,2023,Fall,Master,加拿大,其他,3.46
1022,MSc IT@HKUST,Admit,2024,Fall,Master,中国香港,100,85.14
1023,MSc IT@HKUST,Admit,2023,Fall,Master,中国香港,5.0,4.41
1024,MSc IT@HKUST,Admit,2023,Fall,Master,中国香港,100,90.52
1025,MSc SSE@UCL,Admit,2023,Fall,Master,英国,5.0,4.41
1026,MScAc@UofT,Reject,2024,Fall,Master,加拿大,4.0,3.89
1027,MScAc@UofT,Reject,2024,Fall,Master,加拿大,4.3,3.7
1028,MScAc@UofT,Reject,2024,Fall,Master,加拿大,4.0,3.92
1029,MScAc@UofT,Reject,2024,Fall,Master,加拿大,4.3,3.7
1030,MScAc@UofT,默拒,2024,Fall,Master,加拿大,100,92.0
1031,MScAc@UofT,Admit,2024,Fall,Master,加拿大,100,93.5
1032,MScAc@UofT,Reject,2023,Fall,Master,加拿大,4.0,3.74
1033,MScAc@UofT,Admit,2023,Fall,Master,加拿大,100,86.5
1034,MScAc@UofT,Reject,2023,Fall,Master,加拿大,4.0,3.7
1035,MScAc@UofT,Admit,2023,Fall,Master,加拿大,4.0,3.92
1036,MScAc@UofT,Admit,2022,Fall,Master,加拿大,100,88.42
1037,MSCE@Columbia,Admit,2023,Fall,Master,美国,4.3,3.97
1038,MSCE@NYU Tandon,Admit,2024,Fall,Master,美国,4.0,2.9
1039,MSCE@NYU Tandon,Admit,2024,Fall,Master,美国,4.0,3.82
1040,MSCE@NYU Tandon,Admit,2024,Fall,Master,美国,4.0,3.7
1041,MSCE@NYU Tandon,Admit,2024,Fall,Master,美国,4.0,3.29
1042,MSCE@NYU Tandon,Admit,2023,Fall,Master,美国,4.0,3.48
1044,MSCE@NYU Tandon,Admit,2023,Fall,Master,美国,4.0,3.37
1045,MSCE@NYU Tandon,Admit,2023,Fall,Master,美国,其他,27.89
1046,MSCE@NYU Tandon,Admit,2023,Fall,Master,美国,4.0,3.7
1047,MSCS@BU,Admit,2024,Fall,Master,美国,5.0,4.33
1048,MSCS@BU,Admit,2023,Fall,Master,美国,5.0,4.43
1049,MSCS@CMU,Reject,2024,Fall,Master,美国,4.0,3.75
1050,MSCS@CMU,Reject,2024,Fall,Master,美国,4.3,4.05
1051,MSCS@CMU,Reject,2024,Fall,Master,美国,4.0,3.7
1052,MSCS@CMU,Reject,2024,Fall,Master,美国,100,91.82
1053,MSCS@CMU,Admit,2024,Fall,Master,美国,4.0,3.93
1054,MSCS@CMU,Reject,2024,Fall,Master,美国,4.0,3.69
1055,MSCS@CMU,Reject,2024,Fall,Master,美国,4.0,3.97
1056,MSCS@CMU,Admit,2024,Fall,Master,美国,4.0,3.95
1057,MSCS@CMU,Reject,2024,Fall,Master,美国,100,90.28
1058,MSCS@CMU,Reject,2024,Fall,Master,美国,4.3,3.7
1059,MSCS@CMU,Reject,2024,Fall,Master,美国,100,91.11
1060,MSCS@CMU,Reject,2024,Fall,Master,美国,4.0,3.97
1061,MSCS@CMU,Reject,2023,Fall,Master,美国,100,86.74
1062,MSCS@CMU,Reject,2023,Fall,Master,美国,4.0,3.92
1063,MSCS@CMU,Reject,2023,Fall,Master,美国,4.0,3.97
1064,MSCS@CMU,Reject,2023,Fall,Master,美国,4.3,3.94
1065,MSCS@CMU,Reject,2023,Fall,Master,美国,4.3,4.09
1066,MSCS@CMU,Reject,2023,Fall,Master,美国,100,90.3
1067,MSCS@CMU,Reject,2023,Fall,Master,美国,4.0,3.95
1068,MSCS@CMU,Reject,2023,Fall,Master,美国,100,89.61
1069,MSCS@CMU,Reject,2023,Fall,Master,美国,100,87.0
1070,MSCS@CMU,Reject,2023,Fall,Master,美国,100,91.18
1071,MSCS@CMU,Reject,2023,Fall,Master,美国,100,94.48
1072,MSCS@CMU,Reject,2023,Fall,Master,美国,100,91.61
1073,MSCS@CMU,Reject,2023,Fall,Master,美国,100,91.63
1074,MSCS@CMU,Admit,2023,Fall,Master,美国,4.0,3.96
1075,MSCS@CMU,Admit,2023,Fall,Master,美国,4.3,4.1
1076,MSCS@CMU,Reject,2023,Fall,Master,美国,4.0,3.95
1077,MSCS@CMU,Reject,2023,Fall,Master,美国,4.0,3.92
1078,MSCS@CMU,Reject,2023,Fall,Master,美国,4.0,3.9
1079,MSCS@CMU,Reject,2023,Fall,Master,美国,4.0,3.88
1080,MSCS@Columbia,默拒,2024,Fall,Master,美国,4.0,3.75
1081,MSCS@Columbia,Reject,2024,Fall,Master,美国,100,89.1
1082,MSCS@Columbia,Reject,2024,Fall,Master,美国,4.0,3.82
1083,MSCS@Columbia,Reject,2024,Fall,Master,美国,4.3,3.7
1084,MSCS@Columbia,Reject,2024,Fall,Master,美国,100,91.11
1085,MSCS@Columbia,Admit,2024,Fall,Master,美国,4.0,3.96
1086,MSCS@Columbia,Admit,2024,Fall,Master,美国,4.0,3.83
1087,MSCS@Columbia,Admit,2024,Fall,Master,美国,4.0,3.93
1088,MSCS@Columbia,Admit,2024,Fall,Master,美国,4.0,3.88
1089,MSCS@Columbia,Admit,2024,Fall,Master,美国,100,90.5
1090,MSCS@Columbia,Admit,2024,Fall,Master,美国,100,91.82
1091,MSCS@Columbia,Admit,2024,Fall,Master,美国,100,91.08
1092,MSCS@Columbia,Admit,2024,Fall,Master,美国,4.3,3.7
1093,MSCS@Columbia,Admit,2024,Fall,Master,美国,4.0,3.92
1094,MSCS@Columbia,Admit,2024,Fall,Master,美国,4.0,3.97
1095,MSCS@Columbia,Reject,2023,Fall,Master,美国,4.0,3.94
1096,MSCS@Columbia,Waitlist,2023,Fall,Master,美国,100,94.48
1097,MSCS@Columbia,Reject,2023,Fall,Master,美国,4.0,3.92
1098,MSCS@Columbia,Reject,2023,Fall,Master,美国,4.0,3.8
1099,MSCS@Columbia,Reject,2023,Fall,Master,美国,4.3,3.55
1100,MSCS@Columbia,Reject,2023,Fall,Master,美国,4.0,3.84
1101,MSCS@Columbia,Reject,2023,Fall,Master,美国,5.0,4.41
1102,MSCS@Columbia,Reject,2023,Fall,Master,美国,4.0,3.92
1103,MSCS@Columbia,默拒,2023,Fall,Master,美国,4.0,3.9
1104,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.0,3.92
1105,MSCS@Columbia,Admit,2023,Fall,Master,美国,5.0,4.55
1106,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.3,3.94
1107,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.0,3.98
1108,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.3,3.96
1109,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.0,3.7
1110,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.3,4.09
1111,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.0,4.0
1112,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.0,3.96
1113,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.0,3.95
1114,MSCS@Columbia,Admit,2023,Fall,Master,美国,4.0,3.97
1115,MSCS@Columbia,Reject,2023,Fall,Master,美国,100,87.0
1116,MSCS@Columbia,Reject,2022,Fall,Master,美国,100,90.11
1117,MSCS@Columbia,Reject,2022,Fall,Master,美国,100,89.28
1118,MSCS@Cornell,Reject,2023,Fall,Master,美国,4.0,4.0
1119,MSCS@Dartmouth,Reject,2024,Fall,Master,美国,5.0,4.33
1120,MSCS@Dartmouth,Admit,2024,Fall,Master,美国,100,87.0
1121,MSCS@Dartmouth,Admit,2024,Fall,Master,美国,100,92.0
1122,MSCS@Dartmouth,Waitlist,2023,Fall,Master,美国,100,86.74
1123,MSCS@Dartmouth,Admit,2023,Fall,Master,美国,4.0,3.33
1124,MSCS@Duke,Reject,2024,Fall,Master,美国,4.0,3.75
1125,MSCS@Duke,Reject,2024,Fall,Master,美国,4.0,3.83
1126,MSCS@Duke,Reject,2024,Fall,Master,美国,100,94.25
1127,MSCS@Duke,Reject,2024,Fall,Master,美国,4.0,3.97
1128,MSCS@Duke,Reject,2024,Fall,Master,美国,4.3,3.7
1129,MSCS@Duke,Reject,2024,Fall,Master,美国,100,90.5
1130,MSCS@Duke,Reject,2024,Fall,Master,美国,4.0,3.94
1131,MSCS@Duke,Admit,2024,Fall,Master,美国,4.0,3.96
1132,MSCS@Duke,Admit,2024,Fall,Master,美国,100,91.11
1134,MSCS@Duke,Reject,2023,Fall,Master,美国,4.0,3.92
1135,MSCS@Duke,Reject,2023,Fall,Master,美国,4.0,3.9
1136,MSCS@Duke,Reject,2023,Fall,Master,美国,4.3,4.09
1137,MSCS@Duke,Reject,2023,Fall,Master,美国,4.0,3.86
1138,MSCS@Duke,Reject,2023,Fall,Master,美国,100,91.61
1139,MSCS@Duke,Admit,2023,Fall,Master,美国,4.3,3.94
1140,MSCS@Duke,Admit,2023,Fall,Master,美国,4.3,4.1
1141,MSCS@Emory,Reject,2023,Fall,Master,美国,4.0,3.87
1142,MSCS@Emory,Admit,2023,Fall,Master,美国,4.0,3.33
1143,MSCS@EPFL,Admit,2024,Fall,Master,瑞士,100,90.5
1144,MSCS@EPFL,Admit,2024,Fall,Master,瑞士,4.3,4.05
1145,MSCS@EPFL,Admit,2024,Fall,Master,瑞士,100,90.28
1146,MSCS@EPFL,Admit,2024,Fall,Master,瑞士,4.0,3.97
1147,MSCS@EPFL,Reject,2024,Fall,Master,瑞士,100,90.6
1148,MSCS@EPFL,Reject,2024,Fall,Master,瑞士,4.0,3.89
1149,MSCS@EPFL,Reject,2023,Fall,Master,瑞士,4.0,3.92
1150,MSCS@EPFL,Admit,2023,Fall,Master,瑞士,4.3,3.94
1151,MSCS@EPFL,Reject,2023,Fall,Master,瑞士,4.0,3.86
1152,MSCS@EPFL,Admit,2023,Fall,Master,瑞士,100,91.61
1153,MSCS@EPFL,Reject,2023,Fall,Master,瑞士,4.0,3.91
1154,MSCS@EPFL,Admit,2022,Fall,Master,瑞士,100,89.28
1155,MSCS@ETH,Admit,2024,Fall,Master,瑞士,4.0,3.97
1156,MSCS@ETH,Admit,2024,Fall,Master,瑞士,100,90.28
